token,frequency,possible_split,part1_frequency,part2_frequency,book,chapter,verse,context
produzirei,1,produz irei,24,46,Isaías,65,9,"E produzirei descendência a Jacó e a Judá, um herdeiro que possua os meus montes; e os meus eleitos herdarão a terra, e os meus servos habitarão ali."
produzirão,1,produz irão,24,26,2 Timóteo,2,16,"Mas evita os falatórios profanos, porque produzirão maior impiedade."
afrontado,2,afronta do,23,10449,1 Samuel,17,45,"Davi, porém, disse ao filisteu: Tu vens a mim com espada, e com lança, e com escudo; porém eu vou a ti em nome do Senhor dos Exércitos, o Deus dos exércitos de Israel, a quem tens afrontado."
mandados,2,manda dos,23,5149,1 Crônicas,28,21,"E eis que aí tens as turmas dos sacerdotes e dos levitas para todo o ministério da Casa de Deus; estão também contigo, para toda obra, voluntários com sabedoria de toda espécie para todo ministério, como também todos os príncipes e todo o povo, para todos os teus mandados."
mandareis,1,manda reis,23,333,2 Samuel,15,36,"Eis que estão também ali com eles seus dois filhos, Aimaás, filho de Zadoque, e Jônatas, filho de Abiatar; pela mão deles aviso me mandareis de todas as coisas que ouvirdes."
operado,1,opera do,23,10449,Salmos,40,5,"Muitas são, Senhor, meu Deus, as maravilhas que tens operado para conosco, e os teus pensamentos não se podem contar diante de ti; eu quisera anunciá-los e manifestá-los, mas são mais do que se podem contar."
operadores,1,opera dores,23,51,1 Coríntios,12,29,"Porventura, são todos apóstolos? São todos profetas? São todos doutores? São todos operadores de milagres?"
partireis,1,partir eis,23,1303,Juízes,19,5,"E sucedeu que, ao quarto dia pela manhã, madrugaram, e ele levantou-se para partir; então, o pai da moça disse a seu genro: Conforta o teu coração com um bocado de pão, e depois partireis."
partirem,1,partir em,23,6227,1 Samuel,29,11,"Então, Davi de madrugada se levantou, ele e os seus homens, para partirem pela manhã e voltarem à terra dos filisteus; e os filisteus subiram a Jezreel."
partiria,1,partir ia,23,85,Atos,25,4,Mas Festo respondeu que Paulo estava guardado em Cesareia e que ele brevemente partiria para lá.
abrevia,1,abre via,32,22,1 Coríntios,7,29,"Isto, porém, vos digo, irmãos: que o tempo se abrevia; o que resta é que também os que têm mulheres sejam como se as não tivessem;"
alegrado,2,alegra do,22,10449,2 Samuel,6,21,"Disse, porém, Davi a Mical: Perante o Senhor que me escolheu a mim antes do que a teu pai e a toda a sua casa, mandando-me que fosse chefe sobre o povo do Senhor, sobre Israel, perante o Senhor me tenho alegrado."
comovia,1,como via,3763,22,Atos,17,16,"E, enquanto Paulo os esperava em Atenas, o seu espírito se comovia em si mesmo, vendo a cidade tão entregue à idolatria."
Deparou,1,de parou,24404,22,Jonas,1,17,"Deparou, pois, o Senhor um grande peixe, para que tragasse a Jonas; e esteve Jonas três dias e três noites nas entranhas do peixe."
despertado,1,desperta do,22,10449,Zacarias,4,1,"E tornou o anjo que falava comigo, e me despertou, como a um homem que é despertado do seu sono,"
desviareis,1,desviar eis,22,1303,Deuteronômio,31,29,"Porque eu sei que, depois da minha morte, certamente vos corrompereis e vos desviareis do caminho que vos ordenei; então, este mal vos alcançará nos últimos dias, quando fizerdes mal aos olhos do Senhor, para o provocar à ira com a obra das vossas mãos."
desviaria,1,desviar ia,22,85,Jeremias,15,5,"Por que quem se compadeceria de ti, ó Jerusalém? Ou quem se entristeceria por ti? Ou quem se desviaria a perguntar pela tua paz?"
detive,2,de tive,24404,22,Gênesis,32,4,"E ordenou-lhes, dizendo: Assim direis a meu senhor Esaú: Assim diz Jacó, teu servo: Como peregrino morei com Labão e me detive lá até agora."
Maacate,1,maaca te,22,2164,Josué,13,13,"Porém os filhos de Israel não expeliram os gesureus, nem os maacateus; antes, Gesur e Maacate habitaram no meio de Israel até ao dia de hoje."
Procurada,1,procura da,22,7168,Isaías,62,12,"E chamar-lhes-ão povo santo, os remidos do Senhor; e tu serás chamada Procurada, Cidade não desamparada."
procuradas,1,procura das,22,1631,Salmos,111,2,"Grandes são as obras do Senhor, procuradas por todos os que nelas tomam prazer."
procurador,2,procura dor,22,40,Lucas,8,3,"e Joana, mulher de Cuza, procurador de Herodes, e Suzana, e muitas outras que o serviam com suas fazendas."
procurareis,1,procura reis,22,333,Esdras,9,12,"Agora, pois, vossas filhas não dareis a seus filhos, e suas filhas não tomareis para vossos filhos, e nunca procurareis a sua paz e o seu bem; para que vos fortaleçais, e comais o bem da terra, e a façais possuir a vossos filhos para sempre."
reinarei,1,reina rei,22,2503,1 Reis,1,5,"Então, Adonias, filho de Hagite, se levantou, dizendo: Eu reinarei. E preparou carros, e cavaleiros, e cinquenta homens que corressem adiante dele."
julgada,1,julga da,21,7168,1 Coríntios,10,29,"Digo, porém, a consciência, não a tua, mas a do outro. Pois por que há de a minha liberdade ser julgada pela consciência de outrem?"
julgadas,2,julga das,21,1631,Salmos,9,19,"Levanta-te, Senhor! Não prevaleça o homem; sejam julgadas as nações perante a tua face."
onzena,1,onze na,21,3095,Provérbios,28,8,O que aumenta a sua fazenda com usura e onzena ajunta-a para o que se compadece do pobre.
profetizamos,2,profetizam os,21,13856,Mateus,7,22,"Muitos me dirão naquele Dia: Senhor, Senhor, não profetizamos nós em teu nome? E, em teu nome, não expulsamos demônios? E, em teu nome, não fizemos muitas maravilhas?"
Ainadabe,1,ai nadabe,165,20,1 Reis,4,14,"Ainadabe, filho de Ido, em Maanaim;"
comoverei,1,como verei,3763,20,Hebreus,12,26,"a voz do qual moveu, então, a terra, mas, agora, anunciou, dizendo: Ainda uma vez comoverei, não só a terra, senão também o céu."
conhecesse,2,conheces se,20,6927,Salmos,142,4,Olhei para aminha direita e vi; mas não havia quem me conhecesse; refúgio me faltou; ninguém cuidou da minha alma.
conhecessem,2,conheces sem,20,418,Lucas,24,16,"Mas os olhos deles estavam como que fechados, para que o não conhecessem."
fundada,2,funda da,20,7168,Isaías,28,16,"Portanto, assim diz o Senhor Jeová: Eis que eu assentei em Sião uma pedra, uma pedra já provada, pedra preciosa de esquina, que está bem firme e fundada; aquele que crer não se apresse."
fundadas,2,funda das,20,1631,Jó,38,6,"Sobre que estão fundadas as suas bases, ou quem assentou a sua pedra de esquina,"
fundados,2,funda dos,20,5149,Efésios,3,17,"para que Cristo habite, pela fé, no vosso coração; a fim de, estando arraigados e fundados em amor,"
fundarei,1,funda rei,20,2503,Isaías,54,11,"Ó oprimida, arrojada com a tormenta e desconsolada! Eis que eu porei as tuas pedras com todo o ornamento e te fundarei sobre safiras."
herdarem,1,herdar em,20,6227,Levítico,25,46,"E possuí-los-eis por herança para vossos filhos depois de vós, para herdarem a possessão; perpetuamente os fareis servir, mas sobre vossos irmãos, os filhos de Israel, cada um sobre o seu irmão, não vos assenhoreareis dele com rigor."
lagarto,1,lagar to,20,49,Levítico,11,30,"e o ouriço cacheiro, e o lagarto, e a lagartixa, e a lesma, e a toupeira."
modela,1,mo dela,20,216,Jó,38,14,Tudo se modela como o barro sob o selo e se põe como vestes;
modera,1,mo dera,20,35,Provérbios,10,19,"Na multidão de palavras não falta transgressão, mas o que modera os seus lábios é prudente."
moramos,1,mo ramos,20,66,1 Reis,3,17,"E disse-lhe uma das mulheres: Ah! Senhor meu, eu e esta mulher moramos numa casa; e tive um filho, morando com ela naquela casa."
moverei,1,mo verei,20,20,Joel,3,7,eis que eu os moverei do lugar para onde os vendestes; e farei cair a vossa paga sobre a vossa própria cabeça.
pedireis,2,pedir eis,20,1303,João,15,7,"Se vós estiverdes em mim, e as minhas palavras estiverem em vós, pedireis tudo o que quiserdes, e vos será feito."
pediria,1,pedir ia,20,85,Jó,9,15,"A ele, ainda que eu fosse justo, lhe não responderia; antes, ao meu juiz pediria misericórdia."
Quarentaaçoites,1,quarenta açoites,157,20,Deuteronômio,25,3,"Quarentaaçoites lhe fará dar, não mais; para que, porventura, se lhe fizer dar mais açoites do que estes, teu irmão não fique envilecido aos teus olhos."
trazeis,2,traz eis,20,1303,Malaquias,1,8,"Porque, quando trazeis animal cego para o sacrificardes, não faz mal! E, quando ofereceis o coxo ou o enfermo, não faz mal! Ora, apresenta-o ao teu príncipe; terá ele agrado em ti? Ou aceitará ele a tua pessoa? — diz o Senhor dos Exércitos."
